Property,Units,Total Containers,Total Yard Capacity,Yards Per Door,Service Type,Data Source
Mandarina,180,2,12,0.067,Compactor,Confirmed
Pavilions at Arrowhead,248,4,16,0.065,Dumpster,Confirmed
Springs at Alta Mesa,200,16,46,0.23,Mixed,Confirmed
Tempe Vista,186,8,38,0.204,Dumpster,Confirmed
Orion Prosper,312,TBD,TBD,TBD,Compactor,Needs Survey
McCord Park FL,416,TBD,TBD,TBD,Dumpster,Needs Survey
Orion McKinney,453,TBD,TBD,TBD,Mixed,Needs Survey
The Club at Millenia,560,TBD,TBD,TBD,Compactor,Needs Survey
Bella Mirage,715,TBD,TBD,TBD,Compactor,Needs Survey
Orion Prosper Lakes,308,TBD,TBD,TBD,Compactor,Needs Survey
