Month,Invoice Number,Invoice Date,Vendor,Amount,Category,Cost_Per_Door,YTD_Total,YTD_Avg_CPD,Notes
2024-11,1003212677,2024-11-15,Waste Management,6622.86,"extra_pickup, base",9.262741258741258,6622.86,6622.86,
2024-12,1003250854,2024-12-16,"Waste Management National Services, Inc.",6482.86,"overage, base",9.066937062937063,13105.72,6552.86,Overage charges present
2025-01,1003278289,2025-01-13,Waste Management,6622.86,"extra_pickup, base",9.262741258741258,19728.579999999998,6576.193333333333,
2025-02,1003320679,2025-02-14,"WM National Services, Inc.",6914.37,"overage, base",9.670447552447552,26642.949999999997,6660.737499999999,Overage charges present
2025-03,1003357696,2025-03-13,"Waste Management National Services, Inc.",6739.37,"base, extra_pickup",9.425692307692307,33382.32,6676.464,
2025-04,1003398871,2025-04-16,"Waste Management National Services, Inc.",6879.37,"base, extra_pickup",9.621496503496504,40261.69,6710.281666666667,
2025-05,1003432086,2025-05-15,"Waste Management National Services, Inc.",6669.37,base,9.32779020979021,46931.060000000005,6704.437142857144,
2025-06,1003477060,2025-06-17,"Waste Management National Services, Inc.",6774.37,"base, overage",9.474643356643357,53705.43000000001,6713.178750000001,Overage charges present
2025-07,1003508868,2025-07-15,"Waste Management National Services, Inc.",6669.37,base,9.32779020979021,60374.80000000001,6708.311111111112,
2025-08,1003547355,2025-08-14,"Waste Management National Services, Inc.",6949.37,"extra_pickup, base",9.719398601398602,67324.17000000001,6732.417000000001,
