Month,Invoice Number,Invoice Date,Vendor,Amount,Category,Cost_Per_Door,YTD_Total,YTD_Avg_CPD,Notes
2024-10,"41953, 5998169-1571-5, RI1370230",2024-10-15,"Ally Waste, Waste Management, Waste Management",2798.2799999999997,Service,15.546,2798.2799999999997,2798.2799999999997,
2024-11,"43819, MONTHLY-Waste-Management---Hauling-2024-11, RI1376420",2024-11-01,"Ally Waste, Waste Management, Waste Management",3207.41,Service,17.818944444444444,6005.69,3002.845,
2024-12,"46450, MONTHLY-Waste-Management---Hauling-2024-12, RI1382601",2024-12-01,"Ally Waste, Waste Management, Waste Management",2829.54,Service,15.719666666666667,8835.23,2945.0766666666664,
2025-01,"48031, MONTHLY-Waste-Management---Hauling-2025-01, RI1388784",2025-01-01,"Ally Waste, Waste Management, Waste Management",2295.55,Service,12.753055555555557,11130.779999999999,2782.6949999999997,
2025-02,"50794, 6029558-1571-0, RI1394874",2025-02-01,"Ally Waste, Waste Management, Waste Management",2793.9,Service,15.521666666666667,13924.679999999998,2784.9359999999997,Cost increased 21.7% from prior month
2025-03,"54338, 6037396-1571-5, RI1401006",2025-03-01,"Ally Waste, Waste Management, Waste Management",3160.57,Service,17.558722222222222,17085.25,2847.5416666666665,
2025-04,"56772, 6045311-1571-4, RI1407295",2025-04-01,"Ally Waste, Waste Management, Waste Management",2917.95,Service,16.210833333333333,20003.2,2857.6,
2025-05,"60038, 6052932-1571-7, RI1413707",2025-05-01,"Ally Waste, Waste Management, Waste Management",2776.29,Service,15.423833333333333,22779.49,2847.43625,
2025-06,"6060583-1571-8, 61715, RI1419720",2025-06-01,"Ally Waste, Waste Management, Waste Management",3229.8399999999997,Service,17.943555555555555,26009.33,2889.9255555555555,
2025-07,"6073647-1571-6, 64883, RI1425775",2025-07-01,"Ally Waste, Waste Management, Waste Management",2796.3900000000003,Service,15.535500000000003,28805.72,2880.572,
2025-08,"6081232-1571-7, 67841, RI1432864",2025-08-01,"Ally Waste, Waste Management, Waste Management",2786.04,Service,15.478,31591.760000000002,2871.978181818182,
2025-09,"6088820-1571-2, 72866, RI1439015",2025-09-01,"Ally Waste, Waste Management, Waste Management",2868.96,Service,15.938666666666666,34460.72,2871.726666666667,
