Month,Invoice Number,Invoice Date,Vendor,Amount,Category,Cost_Per_Door,YTD_Total,YTD_Avg_CPD,Notes
2024-11,"42596.0, MONTHLY-City-of-Glendale-2024-11",2024-11-01,"Ally Waste, City of Glendale",3261.63,Service,13.151733870967742,3261.63,3261.63,
2024-12,"45417.0, MONTHLY-City-of-Glendale-2024-12",2024-12-01,"Ally Waste, City of Glendale",3229.0600000000004,Service,13.020403225806453,6490.6900000000005,3245.3450000000003,
2025-01,"48195.0, MONTHLY-City-of-Glendale-2025-01",2025-01-01,"Ally Waste, City of Glendale",3163.02,Service,12.754112903225806,9653.710000000001,3217.9033333333336,
2025-02,"50952.0, MONTHLY-City-of-Glendale-2025-02",2025-02-01,"Ally Waste, City of Glendale",3276.04,Service,13.209838709677419,12929.75,3232.4375,
2025-03,"54492.0, MONTHLY-City-of-Glendale-2025-03",2025-03-01,"Ally Waste, City of Glendale",3351.63,Service,13.514637096774194,16281.380000000001,3256.2760000000003,
2025-04,"56949.0, MONTHLY-City-of-Glendale-2025-04",2025-04-01,"Ally Waste, City of Glendale",3351.63,Service,13.514637096774194,19633.010000000002,3272.1683333333335,
2025-05,"60207.0, MONTHLY-City-of-Glendale-2025-05",2025-05-01,"Ally Waste, City of Glendale",3631.0,Service,14.641129032258064,23264.010000000002,3323.4300000000003,
2025-06,"61995.0, MONTHLY-City-of-Glendale-2025-06",2025-06-01,"Ally Waste, City of Glendale",3792.3399999999997,Service,15.291693548387096,27056.350000000002,3382.04375,
2025-07,"65125.0, MONTHLY-City-of-Glendale-2025-07",2025-07-01,"Ally Waste, City of Glendale",3922.71,Service,15.817379032258065,30979.06,3442.117777777778,
2025-08,"68052.0, MONTHLY-City-of-Glendale-2025-08",2025-08-01,"Ally Waste, City of Glendale",4045.6699999999996,Service,16.313185483870967,35024.73,3502.4730000000004,
2025-09,"71009.0, MONTHLY-City-of-Glendale-2025-09",2025-09-01,"Ally Waste, City of Glendale",3850.0499999999997,Service,15.524395161290322,38874.780000000006,3534.0709090909095,
2025-10,MONTHLY-City-of-Glendale-2025-10,2025-10-02,City of Glendale,3448.68,Service,13.905967741935482,42323.46000000001,3526.955000000001,
