Month,Invoice Number,Invoice Date,Vendor,Amount,Category,Cost_Per_Door,YTD_Total,YTD_Avg_CPD,Notes
2024-10,5997949-1571-1,2024-10-31,Waste Management,2287.59,Service,12.298870967741935,2287.59,2287.59,
2024-11,"43628, 6005707-1571-1",2024-11-01,"Ally Waste, Waste Management",2469.41,Service,13.276397849462365,4757.0,2378.5,
2024-12,"46269, 6013616-1571-4",2024-12-01,"Ally Waste, Waste Management",2888.9100000000003,Service,15.531774193548388,7645.91,2548.6366666666668,
2025-01,"48480, 6022106-1571-5",2025-01-01,"Ally Waste, Waste Management",2884.06,Service,15.505698924731183,10529.97,2632.4925,
2025-02,"51234, 6029426-1571-0",2025-02-01,"Ally Waste, Waste Management",2642.1,Service,14.20483870967742,13172.07,2634.4139999999998,
2025-03,"53529, 6037265-1571-2",2025-03-01,"Ally Waste, Waste Management",2748.63,Service,14.77758064516129,15920.7,2653.4500000000003,
2025-04,"57268, 6045181-1571-1",2025-04-01,"Ally Waste, Waste Management",2621.25,Service,14.09274193548387,18541.95,2648.85,
2025-05,"59105, 6052804-1571-8",2025-05-01,"Ally Waste, Waste Management",2909.61,Service,15.643064516129034,21451.56,2681.445,
2025-06,"6060457-1571-5, 62469",2025-06-01,"Ally Waste, Waste Management",3360.13,Service,18.065215053763442,24811.690000000002,2756.8544444444447,
2025-07,"6073524-1571-7, 65538",2025-07-01,"Ally Waste, Waste Management",2934.69,Service,15.777903225806451,27746.38,2774.638,
2025-08,"6081111-1571-3, 68395",2025-08-01,"Ally Waste, Waste Management",2777.65,Service,14.933602150537634,30524.030000000002,2774.9118181818185,
2025-09,"6088704-1571-8, 71335",2025-09-01,"Ally Waste, Waste Management",3214.15,Service,17.280376344086022,33738.18,2811.515,
